title,description,category,resolution,priority
Issue reported: my account has been locked after several login attempts,I am having trouble because my account has been locked after several login attempts.,Access Management,Verify access permissions and escalate to access management if required.,Low
Issue reported: there is unusual activity on my account,This started happening today: there is unusual activity on my account.,Security,Report the suspicious activity to the security team immediately.,Low
Issue reported: the corporate network is unreachable,"I have been trying to fix this, but the corporate network is unreachable.",Network,Verify VPN settings and escalate to network support if required.,High
Unable to resolve: database performance has suddenly become very slow,This started happening today: database performance has suddenly become very slow.,Database,Check database connectivity and review the database server logs.,Low
Issue reported: the internal system cannot be reached,Please help me. the internal system cannot be reached.,Infrastructure,Check the infrastructure service and escalate to the infrastructure team if necessary.,Medium
Problem with i cannot complete my work because the application keeps failing,I would like to report a problem where I cannot complete my work because the application keeps failing.,Application,Restart the application and check whether the problem continues.,Medium
Issue reported: i received an email that looks like a phishing attempt,This issue is preventing me from working: I received an email that looks like a phishing attempt.,Security,Disconnect the affected device from the network and contact Security Operations.,High
Issue reported: there is unusual activity on my account,I am unable to continue my work because there is unusual activity on my account.,Security,"Secure the account, change the password, and contact Security Operations.",Medium
Support required: the server connection keeps timing out,Please help me. the server connection keeps timing out.,Infrastructure,Check the infrastructure service and escalate to the infrastructure team if necessary.,Medium
Unable to resolve: the database server is not responding,Please help me. the database server is not responding.,Database,Check database connectivity and review the database server logs.,Low
Support required: storage capacity has been exhausted,Our team is facing the following issue: storage capacity has been exhausted.,Storage,Verify storage connectivity and available disk capacity.,Medium
Issue reported: my computer may have malware,Our team is facing the following issue: my computer may have malware.,Security,Report the suspicious activity to the security team immediately.,High
Issue reported: i received a suspicious attachment,I need assistance with this problem: I received a suspicious attachment.,Security,Disconnect the affected device from the network and contact Security Operations.,High
Our storage space is nearly full,I am unable to continue my work because our storage space is nearly full.,Storage,Check available storage and remove unnecessary files if appropriate.,Medium
Issue reported: the application becomes unresponsive,This issue is preventing me from working: the application becomes unresponsive.,Application,Check the application logs and install the latest available update.,High
I cannot save files to the shared drive,Our team is facing the following issue: I cannot save files to the shared drive.,Storage,Check available storage and remove unnecessary files if appropriate.,Low
Support required: the network connection keeps failing,I am unable to continue my work because the network connection keeps failing.,Network,Check network connectivity and restart the network adapter.,Medium
Unable to resolve: my network connection becomes unstable during work,I would like to report a problem where my network connection becomes unstable during work.,Network,Check network connectivity and restart the network adapter.,Medium
Problem with the internal server keeps disconnecting,I need technical support because the internal server keeps disconnecting.,Infrastructure,Check the infrastructure service and escalate to the infrastructure team if necessary.,Low
Issue reported: i think my account may have been compromised,Can someone help me resolve this? I think my account may have been compromised.,Security,Disconnect the affected device from the network and contact Security Operations.,Medium
Problem with the office internet connection is very slow,This started happening today: the office internet connection is very slow.,Network,Restart the VPN client and verify the network connection.,High
Support required: i accidentally clicked a suspicious link,Please help me. I accidentally clicked a suspicious link.,Security,"Secure the account, change the password, and contact Security Operations.",Low
Support required: i forgot my password,I need assistance with this problem: I forgot my password.,Access Management,Verify access permissions and escalate to access management if required.,Low
Problem with i am unable to connect to internal network resources,Please help me. I am unable to connect to internal network resources.,Network,Restart the VPN client and verify the network connection.,Low
Support required: database queries are taking too long,Something appears to be wrong because database queries are taking too long.,Database,Verify database availability and investigate slow-running queries.,Medium
Unable to resolve: the company vpn is not connecting,This started happening today: the company VPN is not connecting.,Network,Verify VPN settings and escalate to network support if required.,Medium
Issue reported: i cannot access the company network,I need technical support because I cannot access the company network.,Network,Restart the VPN client and verify the network connection.,High
I am unable to access files on the shared drive,I am having trouble because I am unable to access files on the shared drive.,Storage,Check available storage and remove unnecessary files if appropriate.,Medium
Unable to resolve: the vpn connection keeps dropping,Can someone help me resolve this? the VPN connection keeps dropping.,Network,Check network connectivity and restart the network adapter.,Medium
The database connection is failing,This started happening today: the database connection is failing.,Database,Verify database availability and investigate slow-running queries.,Medium
The network connection keeps failing,This started happening today: the network connection keeps failing.,Network,Check network connectivity and restart the network adapter.,Medium
Unable to resolve: i received a suspicious attachment,I need assistance with this problem: I received a suspicious attachment.,Security,"Secure the account, change the password, and contact Security Operations.",High
Support required: my device is showing signs of malicious activity,Our team is facing the following issue: my device is showing signs of malicious activity.,Security,"Secure the account, change the password, and contact Security Operations.",High
Issue reported: the corporate network is unreachable,This started happening today: the corporate network is unreachable.,Network,Restart the VPN client and verify the network connection.,High
Support required: wi-fi keeps disconnecting,I am having trouble because Wi-Fi keeps disconnecting.,Network,Restart the VPN client and verify the network connection.,Medium
Support required: one of our business applications is behaving incorrectly,Can someone help me resolve this? one of our business applications is behaving incorrectly.,Application,Verify the application configuration and escalate to application support if required.,High
Unable to resolve: my device is showing signs of malicious activity,Can someone help me resolve this? my device is showing signs of malicious activity.,Security,Disconnect the affected device from the network and contact Security Operations.,Medium
Problem with the internal server is unavailable,Please help me. the internal server is unavailable.,Infrastructure,Check server health and review the infrastructure logs.,High
I received a suspicious attachment,Can someone help me resolve this? I received a suspicious attachment.,Security,Report the suspicious activity to the security team immediately.,Low
Issue reported: a business server is currently offline,"I have been trying to fix this, but a business server is currently offline.",Infrastructure,Verify server availability and restart the affected service if required.,Medium
Support required: remote access to the company network is not working,I am unable to continue my work because remote access to the company network is not working.,Network,Verify VPN settings and escalate to network support if required.,Low
I am unable to access files on the shared drive,I need technical support because I am unable to access files on the shared drive.,Storage,Check storage permissions and escalate to storage support if needed.,Low
Issue reported: the corporate network is unreachable,I need technical support because the corporate network is unreachable.,Network,Check network connectivity and restart the network adapter.,Low
Unable to resolve: i received a suspicious attachment,I would like to report a problem where I received a suspicious attachment.,Security,Disconnect the affected device from the network and contact Security Operations.,Medium
I cannot complete my work because the application keeps failing,"I have been trying to fix this, but I cannot complete my work because the application keeps failing.",Application,Verify the application configuration and escalate to application support if required.,Low
Unable to resolve: i received a suspicious attachment,Please help me. I received a suspicious attachment.,Security,Report the suspicious activity to the security team immediately.,High
Problem with the database connection is failing,"I have been trying to fix this, but the database connection is failing.",Database,Check database connectivity and review the database server logs.,High
Problem with i need access to an internal system,I am unable to continue my work because I need access to an internal system.,Access Management,Reset the password and verify account access.,High
Problem with i cannot save files to the shared drive,This started happening today: I cannot save files to the shared drive.,Storage,Check storage permissions and escalate to storage support if needed.,Medium
Problem with i cannot log into my company account,Our team is facing the following issue: I cannot log into my company account.,Access Management,Reset the password and verify account access.,High
Unable to resolve: i cannot complete my work because the application keeps failing,I need assistance with this problem: I cannot complete my work because the application keeps failing.,Application,Check the application logs and install the latest available update.,Medium
Support required: the server connection keeps timing out,Something appears to be wrong because the server connection keeps timing out.,Infrastructure,Check server health and review the infrastructure logs.,Medium
Problem with the application is extremely slow,"I have been trying to fix this, but the application is extremely slow.",Application,Check the application logs and install the latest available update.,Medium
Unable to resolve: the internal system cannot be reached,Please help me. the internal system cannot be reached.,Infrastructure,Check the infrastructure service and escalate to the infrastructure team if necessary.,Medium
Issue reported: our storage space is nearly full,I need assistance with this problem: our storage space is nearly full.,Storage,Check available storage and remove unnecessary files if appropriate.,High
Problem with the server connection keeps timing out,Please help me. the server connection keeps timing out.,Infrastructure,Check the infrastructure service and escalate to the infrastructure team if necessary.,Low
Problem with the network connection keeps failing,Can someone help me resolve this? the network connection keeps failing.,Network,Verify VPN settings and escalate to network support if required.,High
Issue reported: i am concerned about unauthorized activity,Something appears to be wrong because I am concerned about unauthorized activity.,Security,Report the suspicious activity to the security team immediately.,High
Issue reported: the database connection is failing,Our team is facing the following issue: the database connection is failing.,Database,Check database permissions and escalate to database support if required.,Medium
Unable to resolve: i am unable to sign in with my company credentials,I am having trouble because I am unable to sign in with my company credentials.,Access Management,Reset the password and verify account access.,Low
Issue reported: records are not loading from the database,This issue is preventing me from working: records are not loading from the database.,Database,Check database permissions and escalate to database support if required.,Low
My account has been locked after several login attempts,This started happening today: my account has been locked after several login attempts.,Access Management,Unlock the account and confirm the user's permissions.,Medium
My account has been locked after several login attempts,I am having trouble because my account has been locked after several login attempts.,Access Management,Unlock the account and confirm the user's permissions.,Medium
Support required: records are not loading from the database,This started happening today: records are not loading from the database.,Database,Check database permissions and escalate to database support if required.,Low
Problem with database performance has suddenly become very slow,This issue is preventing me from working: database performance has suddenly become very slow.,Database,Check database permissions and escalate to database support if required.,Medium
Problem with i cannot complete my work because the application keeps failing,I am having trouble because I cannot complete my work because the application keeps failing.,Application,Verify the application configuration and escalate to application support if required.,Medium
Support required: the office internet connection is very slow,Please help me. the office internet connection is very slow.,Network,Restart the VPN client and verify the network connection.,High
Issue reported: the database connection drops unexpectedly,Our team is facing the following issue: the database connection drops unexpectedly.,Database,Check database connectivity and review the database server logs.,Medium
Problem with i am unable to sign in with my company credentials,I am having trouble because I am unable to sign in with my company credentials.,Access Management,Unlock the account and confirm the user's permissions.,Medium
Problem with the application will not open,This started happening today: the application will not open.,Application,Check the application logs and install the latest available update.,Medium
Support required: the software freezes whenever i use it,Please help me. the software freezes whenever I use it.,Application,Check the application logs and install the latest available update.,Medium
My account is locked,Our team is facing the following issue: my account is locked.,Access Management,Reset the password and verify account access.,Medium
Unable to resolve: the database connection drops unexpectedly,Can someone help me resolve this? the database connection drops unexpectedly.,Database,Verify database availability and investigate slow-running queries.,High
Issue reported: my account has been locked after several login attempts,Can someone help me resolve this? my account has been locked after several login attempts.,Access Management,Verify access permissions and escalate to access management if required.,Medium
Unable to resolve: the application is extremely slow,This started happening today: the application is extremely slow.,Application,Verify the application configuration and escalate to application support if required.,Medium
The vpn connection keeps dropping,Something appears to be wrong because the VPN connection keeps dropping.,Network,Restart the VPN client and verify the network connection.,Medium
Problem with the shared drive is unavailable,I am having trouble because the shared drive is unavailable.,Storage,Check storage permissions and escalate to storage support if needed.,Low
Problem with the infrastructure service is extremely slow,I would like to report a problem where the infrastructure service is extremely slow.,Infrastructure,Verify server availability and restart the affected service if required.,High
Unable to resolve: i forgot my password,Something appears to be wrong because I forgot my password.,Access Management,Verify access permissions and escalate to access management if required.,High
Records are not loading from the database,I am having trouble because records are not loading from the database.,Database,Verify database availability and investigate slow-running queries.,Medium
Issue reported: storage capacity has been exhausted,I am having trouble because storage capacity has been exhausted.,Storage,Verify storage connectivity and available disk capacity.,Medium
Support required: my network connection becomes unstable during work,I am having trouble because my network connection becomes unstable during work.,Network,Check network connectivity and restart the network adapter.,Medium
Problem with i accidentally clicked a suspicious link,I would like to report a problem where I accidentally clicked a suspicious link.,Security,Report the suspicious activity to the security team immediately.,Medium
Unable to resolve: i noticed a suspicious login on my account,I need technical support because I noticed a suspicious login on my account.,Security,Report the suspicious activity to the security team immediately.,Medium
Unable to resolve: my account has been locked after several login attempts,I need technical support because my account has been locked after several login attempts.,Access Management,Reset the password and verify account access.,Low
Unable to resolve: i am unable to sign in with my company credentials,"I have been trying to fix this, but I am unable to sign in with my company credentials.",Access Management,Reset the password and verify account access.,Medium
Problem with the database connection is failing,I would like to report a problem where the database connection is failing.,Database,Verify database availability and investigate slow-running queries.,High
Issue reported: the disk is running out of space,"I have been trying to fix this, but the disk is running out of space.",Storage,Check storage permissions and escalate to storage support if needed.,Medium
Support required: the application will not open,Can someone help me resolve this? the application will not open.,Application,Check the application logs and install the latest available update.,Low
Issue reported: someone may have accessed my account without permission,I would like to report a problem where someone may have accessed my account without permission.,Security,"Secure the account, change the password, and contact Security Operations.",Medium
My login credentials are not working,I would like to report a problem where my login credentials are not working.,Access Management,Unlock the account and confirm the user's permissions.,High
Unable to resolve: the shared drive is unavailable,I need assistance with this problem: the shared drive is unavailable.,Storage,Verify storage connectivity and available disk capacity.,Medium
The software freezes whenever i use it,I am having trouble because the software freezes whenever I use it.,Application,Check the application logs and install the latest available update.,High
Issue reported: i am unable to sign in with my company credentials,I am having trouble because I am unable to sign in with my company credentials.,Access Management,Reset the password and verify account access.,Low
Issue reported: our application cannot retrieve database records,This issue is preventing me from working: our application cannot retrieve database records.,Database,Check database permissions and escalate to database support if required.,Medium
Problem with i cannot complete my work because the application keeps failing,Our team is facing the following issue: I cannot complete my work because the application keeps failing.,Application,Restart the application and check whether the problem continues.,Low
Issue reported: the application closes immediately after opening,I would like to report a problem where the application closes immediately after opening.,Application,Check the application logs and install the latest available update.,Medium
Problem with i need access to an internal system,I am unable to continue my work because I need access to an internal system.,Access Management,Unlock the account and confirm the user's permissions.,High
Problem with i am concerned about unauthorized activity,I need assistance with this problem: I am concerned about unauthorized activity.,Security,"Secure the account, change the password, and contact Security Operations.",Medium
The company-hosted service is not responding,I would like to report a problem where the company-hosted service is not responding.,Infrastructure,Verify server availability and restart the affected service if required.,Medium
Unable to resolve: i cannot save files to the shared drive,Something appears to be wrong because I cannot save files to the shared drive.,Storage,Check storage permissions and escalate to storage support if needed.,Low
Issue reported: i think my account may have been compromised,Can someone help me resolve this? I think my account may have been compromised.,Security,"Secure the account, change the password, and contact Security Operations.",Low
Unable to resolve: the application will not open,Our team is facing the following issue: the application will not open.,Application,Verify the application configuration and escalate to application support if required.,Medium
Support required: the internal system cannot be reached,I need assistance with this problem: the internal system cannot be reached.,Infrastructure,Verify server availability and restart the affected service if required.,Low
The company-hosted service is not responding,This issue is preventing me from working: the company-hosted service is not responding.,Infrastructure,Verify server availability and restart the affected service if required.,Low
Support required: my existing account does not have the required access,Please help me. my existing account does not have the required access.,Access Management,Reset the password and verify account access.,High
Problem with the system reports insufficient disk space,I am having trouble because the system reports insufficient disk space.,Storage,Check available storage and remove unnecessary files if appropriate.,High
Issue reported: the network connection keeps failing,I am unable to continue my work because the network connection keeps failing.,Network,Verify VPN settings and escalate to network support if required.,Low
A business server is currently offline,This issue is preventing me from working: a business server is currently offline.,Infrastructure,Verify server availability and restart the affected service if required.,Medium
Database queries are taking too long,"I have been trying to fix this, but database queries are taking too long.",Database,Check database connectivity and review the database server logs.,High
I am concerned about unauthorized activity,I am having trouble because I am concerned about unauthorized activity.,Security,"Secure the account, change the password, and contact Security Operations.",Low
Issue reported: i cannot access the company network,Something appears to be wrong because I cannot access the company network.,Network,Check network connectivity and restart the network adapter.,Low
I am unable to retrieve information from the database,I am having trouble because I am unable to retrieve information from the database.,Database,Check database connectivity and review the database server logs.,High
Unable to resolve: the company server is not responding,This issue is preventing me from working: the company server is not responding.,Infrastructure,Check server health and review the infrastructure logs.,Medium
The database connection drops unexpectedly,Can someone help me resolve this? the database connection drops unexpectedly.,Database,Check database permissions and escalate to database support if required.,Medium
Problem with i cannot access the company database,Something appears to be wrong because I cannot access the company database.,Database,Verify database availability and investigate slow-running queries.,High
Issue reported: the office internet connection is very slow,I need assistance with this problem: the office internet connection is very slow.,Network,Check network connectivity and restart the network adapter.,Medium
Problem with database requests keep timing out,I am unable to continue my work because database requests keep timing out.,Database,Check database connectivity and review the database server logs.,Medium
The internal system cannot be reached,I am having trouble because the internal system cannot be reached.,Infrastructure,Check the infrastructure service and escalate to the infrastructure team if necessary.,Medium
Unable to resolve: the company server is not responding,I would like to report a problem where the company server is not responding.,Infrastructure,Verify server availability and restart the affected service if required.,Medium
Unable to resolve: i cannot save files to the shared drive,Please help me. I cannot save files to the shared drive.,Storage,Verify storage connectivity and available disk capacity.,Medium
Problem with i cannot log into my company account,This issue is preventing me from working: I cannot log into my company account.,Access Management,Unlock the account and confirm the user's permissions.,High
Unable to resolve: i need permission to access a company application,I am unable to continue my work because I need permission to access a company application.,Access Management,Unlock the account and confirm the user's permissions.,Medium
Issue reported: i think my account may have been compromised,I need assistance with this problem: I think my account may have been compromised.,Security,"Secure the account, change the password, and contact Security Operations.",Medium
Support required: i am unable to sign in with my company credentials,"I have been trying to fix this, but I am unable to sign in with my company credentials.",Access Management,Reset the password and verify account access.,Medium
Problem with new files cannot be saved because storage is full,I need technical support because new files cannot be saved because storage is full.,Storage,Verify storage connectivity and available disk capacity.,High
Support required: database requests keep timing out,This started happening today: database requests keep timing out.,Database,Check database connectivity and review the database server logs.,High
Support required: the company application suddenly stopped working,Can someone help me resolve this? the company application suddenly stopped working.,Application,Restart the application and check whether the problem continues.,Low
Support required: the disk is running out of space,I need technical support because the disk is running out of space.,Storage,Check available storage and remove unnecessary files if appropriate.,Low
I am unable to access files on the shared drive,Can someone help me resolve this? I am unable to access files on the shared drive.,Storage,Check available storage and remove unnecessary files if appropriate.,Low
Support required: i am concerned about unauthorized activity,I need assistance with this problem: I am concerned about unauthorized activity.,Security,"Secure the account, change the password, and contact Security Operations.",Medium
Support required: i accidentally clicked a suspicious link,Something appears to be wrong because I accidentally clicked a suspicious link.,Security,"Secure the account, change the password, and contact Security Operations.",High
Support required: my network connection becomes unstable during work,This issue is preventing me from working: my network connection becomes unstable during work.,Network,Restart the VPN client and verify the network connection.,Medium
The server became unavailable during work,This started happening today: the server became unavailable during work.,Infrastructure,Check server health and review the infrastructure logs.,Medium
Unable to resolve: our application cannot retrieve database records,Our team is facing the following issue: our application cannot retrieve database records.,Database,Verify database availability and investigate slow-running queries.,Medium
The server connection keeps timing out,Can someone help me resolve this? the server connection keeps timing out.,Infrastructure,Check server health and review the infrastructure logs.,Medium
Support required: i am unable to connect to internal network resources,I need assistance with this problem: I am unable to connect to internal network resources.,Network,Check network connectivity and restart the network adapter.,Medium
Unable to resolve: database performance has suddenly become very slow,I would like to report a problem where database performance has suddenly become very slow.,Database,Check database permissions and escalate to database support if required.,Medium
Unable to resolve: the internal system cannot be reached,"I have been trying to fix this, but the internal system cannot be reached.",Infrastructure,Verify server availability and restart the affected service if required.,Low
Unable to resolve: the server became unavailable during work,I need technical support because the server became unavailable during work.,Infrastructure,Verify server availability and restart the affected service if required.,High
Unable to resolve: i cannot save files to the shared drive,Please help me. I cannot save files to the shared drive.,Storage,Check storage permissions and escalate to storage support if needed.,Medium
Issue reported: the company application suddenly stopped working,I am having trouble because the company application suddenly stopped working.,Application,Restart the application and check whether the problem continues.,Medium
Support required: my computer may have malware,I am unable to continue my work because my computer may have malware.,Security,"Secure the account, change the password, and contact Security Operations.",High
Issue reported: i cannot save files to the shared drive,"I have been trying to fix this, but I cannot save files to the shared drive.",Storage,Check storage permissions and escalate to storage support if needed.,Medium
The application will not open,Something appears to be wrong because the application will not open.,Application,Restart the application and check whether the problem continues.,Low
Unable to resolve: my account is locked,Can someone help me resolve this? my account is locked.,Access Management,Reset the password and verify account access.,Medium
Problem with i need my account access restored,I need technical support because I need my account access restored.,Access Management,Reset the password and verify account access.,Low
Issue reported: the company application suddenly stopped working,Can someone help me resolve this? the company application suddenly stopped working.,Application,Verify the application configuration and escalate to application support if required.,Medium
Problem with the application will not open,Please help me. the application will not open.,Application,Restart the application and check whether the problem continues.,Medium
The application displays an unexpected error,Can someone help me resolve this? the application displays an unexpected error.,Application,Verify the application configuration and escalate to application support if required.,Medium
Issue reported: the application is extremely slow,Can someone help me resolve this? the application is extremely slow.,Application,Restart the application and check whether the problem continues.,Medium
Support required: the application closes immediately after opening,Our team is facing the following issue: the application closes immediately after opening.,Application,Restart the application and check whether the problem continues.,High
Issue reported: the database connection drops unexpectedly,This issue is preventing me from working: the database connection drops unexpectedly.,Database,Check database connectivity and review the database server logs.,Medium
Unable to resolve: the application displays an unexpected error,I need technical support because the application displays an unexpected error.,Application,Check the application logs and install the latest available update.,Medium
Problem with one of our business applications is behaving incorrectly,I am unable to continue my work because one of our business applications is behaving incorrectly.,Application,Verify the application configuration and escalate to application support if required.,Low
Support required: the company application suddenly stopped working,I would like to report a problem where the company application suddenly stopped working.,Application,Check the application logs and install the latest available update.,Low
Issue reported: new files cannot be saved because storage is full,I need technical support because new files cannot be saved because storage is full.,Storage,Check available storage and remove unnecessary files if appropriate.,Medium
Problem with i cannot complete my work because the application keeps failing,I am unable to continue my work because I cannot complete my work because the application keeps failing.,Application,Verify the application configuration and escalate to application support if required.,Medium
Support required: my computer may have malware,I am having trouble because my computer may have malware.,Security,Report the suspicious activity to the security team immediately.,Medium
Support required: i received a suspicious attachment,I am unable to continue my work because I received a suspicious attachment.,Security,Disconnect the affected device from the network and contact Security Operations.,High
Problem with i need access to an internal system,I would like to report a problem where I need access to an internal system.,Access Management,Reset the password and verify account access.,High
I cannot complete my work because the application keeps failing,I would like to report a problem where I cannot complete my work because the application keeps failing.,Application,Verify the application configuration and escalate to application support if required.,High
Problem with the database connection drops unexpectedly,I am unable to continue my work because the database connection drops unexpectedly.,Database,Verify database availability and investigate slow-running queries.,Medium
Unable to resolve: the server connection keeps timing out,Something appears to be wrong because the server connection keeps timing out.,Infrastructure,Check the infrastructure service and escalate to the infrastructure team if necessary.,Low
Problem with i need my account access restored,"I have been trying to fix this, but I need my account access restored.",Access Management,Unlock the account and confirm the user's permissions.,High
Unable to resolve: someone may have accessed my account without permission,Our team is facing the following issue: someone may have accessed my account without permission.,Security,Report the suspicious activity to the security team immediately.,Medium
Problem with i need my account access restored,Our team is facing the following issue: I need my account access restored.,Access Management,Verify access permissions and escalate to access management if required.,Low
Unable to resolve: my device is showing signs of malicious activity,I need technical support because my device is showing signs of malicious activity.,Security,Disconnect the affected device from the network and contact Security Operations.,Medium
Issue reported: the software freezes whenever i use it,I need assistance with this problem: the software freezes whenever I use it.,Application,Check the application logs and install the latest available update.,High
Unable to resolve: my network connection becomes unstable during work,I need assistance with this problem: my network connection becomes unstable during work.,Network,Restart the VPN client and verify the network connection.,High
Issue reported: the infrastructure service is extremely slow,Something appears to be wrong because the infrastructure service is extremely slow.,Infrastructure,Verify server availability and restart the affected service if required.,Medium
Problem with i am unable to connect to internal network resources,"I have been trying to fix this, but I am unable to connect to internal network resources.",Network,Check network connectivity and restart the network adapter.,Low
Support required: the office internet connection is very slow,I need technical support because the office internet connection is very slow.,Network,Check network connectivity and restart the network adapter.,Low
I forgot my password,This issue is preventing me from working: I forgot my password.,Access Management,Verify access permissions and escalate to access management if required.,Medium
Support required: my device is showing signs of malicious activity,This started happening today: my device is showing signs of malicious activity.,Security,Disconnect the affected device from the network and contact Security Operations.,Medium
The office internet connection is very slow,Can someone help me resolve this? the office internet connection is very slow.,Network,Check network connectivity and restart the network adapter.,High
The office internet connection is very slow,I am unable to continue my work because the office internet connection is very slow.,Network,Check network connectivity and restart the network adapter.,Low
Support required: the application closes immediately after opening,I would like to report a problem where the application closes immediately after opening.,Application,Verify the application configuration and escalate to application support if required.,Medium
Problem with the shared drive is unavailable,Please help me. the shared drive is unavailable.,Storage,Check storage permissions and escalate to storage support if needed.,Low
Issue reported: my device is showing signs of malicious activity,I need assistance with this problem: my device is showing signs of malicious activity.,Security,"Secure the account, change the password, and contact Security Operations.",Low
Support required: the internal server keeps disconnecting,I need assistance with this problem: the internal server keeps disconnecting.,Infrastructure,Verify server availability and restart the affected service if required.,Medium
Support required: i forgot my password,Something appears to be wrong because I forgot my password.,Access Management,Reset the password and verify account access.,Medium
Unable to resolve: the shared storage is almost full,"I have been trying to fix this, but the shared storage is almost full.",Storage,Check available storage and remove unnecessary files if appropriate.,Medium
Support required: my account has been locked after several login attempts,Can someone help me resolve this? my account has been locked after several login attempts.,Access Management,Reset the password and verify account access.,High
Support required: the internal server keeps disconnecting,Please help me. the internal server keeps disconnecting.,Infrastructure,Check the infrastructure service and escalate to the infrastructure team if necessary.,Medium
Unable to resolve: wi-fi keeps disconnecting,I need assistance with this problem: Wi-Fi keeps disconnecting.,Network,Verify VPN settings and escalate to network support if required.,Medium
Support required: i am unable to retrieve information from the database,I am having trouble because I am unable to retrieve information from the database.,Database,Check database permissions and escalate to database support if required.,Medium
Unable to resolve: our application cannot retrieve database records,Can someone help me resolve this? our application cannot retrieve database records.,Database,Check database connectivity and review the database server logs.,Medium
I am concerned about unauthorized activity,I am having trouble because I am concerned about unauthorized activity.,Security,"Secure the account, change the password, and contact Security Operations.",Medium
The application will not open,Our team is facing the following issue: the application will not open.,Application,Verify the application configuration and escalate to application support if required.,Low
Wi-fi keeps disconnecting,I need technical support because Wi-Fi keeps disconnecting.,Network,Verify VPN settings and escalate to network support if required.,Medium
Issue reported: new files cannot be saved because storage is full,This started happening today: new files cannot be saved because storage is full.,Storage,Check storage permissions and escalate to storage support if needed.,Low
Support required: i accidentally clicked a suspicious link,Something appears to be wrong because I accidentally clicked a suspicious link.,Security,Disconnect the affected device from the network and contact Security Operations.,Low
Issue reported: database queries are taking too long,I would like to report a problem where database queries are taking too long.,Database,Check database connectivity and review the database server logs.,Low
Support required: the application displays an unexpected error,I would like to report a problem where the application displays an unexpected error.,Application,Restart the application and check whether the problem continues.,Low
Unable to resolve: the office internet connection is very slow,This started happening today: the office internet connection is very slow.,Network,Check network connectivity and restart the network adapter.,High
I cannot access the company database,I need technical support because I cannot access the company database.,Database,Check database permissions and escalate to database support if required.,Medium
I need my account access restored,"I have been trying to fix this, but I need my account access restored.",Access Management,Reset the password and verify account access.,High
Problem with database requests keep timing out,This started happening today: database requests keep timing out.,Database,Check database permissions and escalate to database support if required.,High
Problem with the infrastructure service is extremely slow,"I have been trying to fix this, but the infrastructure service is extremely slow.",Infrastructure,Check the infrastructure service and escalate to the infrastructure team if necessary.,Medium
Issue reported: i think my account may have been compromised,This issue is preventing me from working: I think my account may have been compromised.,Security,Disconnect the affected device from the network and contact Security Operations.,Medium
Support required: there is unusual activity on my account,I need technical support because there is unusual activity on my account.,Security,"Secure the account, change the password, and contact Security Operations.",Medium
I cannot log into my company account,I am having trouble because I cannot log into my company account.,Access Management,Reset the password and verify account access.,Medium
Unable to resolve: the company server is not responding,I need technical support because the company server is not responding.,Infrastructure,Check the infrastructure service and escalate to the infrastructure team if necessary.,Low
Problem with i cannot log into my company account,Please help me. I cannot log into my company account.,Access Management,Verify access permissions and escalate to access management if required.,Medium
Issue reported: i cannot log into my company account,I need assistance with this problem: I cannot log into my company account.,Access Management,Unlock the account and confirm the user's permissions.,Low
Unable to resolve: the database server is not responding,"I have been trying to fix this, but the database server is not responding.",Database,Check database permissions and escalate to database support if required.,Medium
There is unusual activity on my account,Our team is facing the following issue: there is unusual activity on my account.,Security,"Secure the account, change the password, and contact Security Operations.",High
